id,attribute_ids
00006356,8 13
00006410,54 58 73 79
00003614,52 63 73 77 80 96
00000939,10 32
00001532,14 31
00001886,51 70 87
00002171,8 12 30
00001604,46 52 58 87
00000992,47 48 58 73 80 0
00003982,44 52 66 67 80
00003618,44 48 59
00003866,46 52 59 70
00002912,54 58 66 95
00003683,73 93
00001348,46 58 73 80 82 93
00006547,40 54 89
00006345,5 17
00000378,50 87 101
00001073,9 56 66 87
00002616,11 46 58 73 80 93 0
00002238,46 58 65 84 85
00003624,58 73
00002101,8 67 82 94
00002433,8 37 54 70 84 87 95
00001068,52 70 89
00003381,64 89
00001138,3 46 58 73 80 93 101
00002318,46 52 84 95
00002058,46 94 96
00001748,48 52 66 76 91
00003366,67 71 84 89 93
00002717,8 25 30 58
00000312,3 46 52 58 102
00002164,54 58 73
00001352,48 65 87
00000010,5 9
00006811,17 67 76 87 0
00000002,58 67
00000090,10 73 94
00003682,8 10 30
00001045,5 8 30 52
00004353,37 67 84 89
00001702,8 10 22
00003388,48 64 65
00006375,51 52
00000727,3 51 87
00006566,84 85 97 98
00002951,57 78 84 89
00000368,5 9 73 84 88
00002681,24 58
00002071,52 67 87
00004275,10 30
00000238,48 66 85
00003022,38 52 58 80
00003026,3 8
00001942,8 10
00000332,13 37
00002537,41 44 67
00001597,25 61
00006295,40 56 66 76
00000349,47 58 91
00002239,56 65
00001567,46 70 72 96 101
00003508,8 58 73 84 85 87 89 94 96
00001891,46 73 89
00001961,8 30
00003461,8 84
00006589,9 12 35 67 68 73 76
00000205,34 54
00006719,10 36
00006370,24 47 81
00000050,47 67 84
00002206,70 87 93
00000881,48 52 58 73 82
00004321,24 47 58 73
00001539,8 47 58 59
00000005,48 73 89
00001864,48 73 80
00004332,46 59 67 94
00002364,46 52 70 84 85
00001187,89
00006732,8 10 22
00001860,52 58 87
00002982,52 73 84 88
00006298,9 47 79
00002432,24 47 89
00001333,46 49 52 58 73 80
00003691,25 30 41 52
00001533,14 37
00002457,48 67 73 89
00000557,37 50 52
00000395,48 49 64 87
00001765,46 52 70 72
00002514,37 48 66
00000001,52 70 82 93
00006657,46 66 71 85 90 93
00004201,5 8
00001798,56 73
00003342,37 54 58 84 96
00003285,5 35 52 73 80 82 91
00001405,48 58 73 80 93
00004348,3 28 37 52 73
00001368,48 66 84 87
00002753,54 73
00001556,10 13
00003769,5 52 88
00003069,8 10 30
00001166,8 30 31 32 40 42
00000968,11 47 52 84 93
00002017,14 37
00000518,50 77 93
00006663,28 66 68 75 82
00003302,47 61 64 72 96 101
00000631,46 52 59 70
00002372,46 49
00001753,8 30
00006374,3 5 6 52
00006651,73 96 101
00006670,57 68 76 0
00002269,8 30 58
00001585,30 40 58
00000176,46 58 73 80 82 93
00004362,21 47 50 66
00004098,70 73 96 100
00000623,52 84 87 88 94
00003778,30 54 89
00006641,57 58 81
00000873,52 56 85
00000774,46 58 80
00004276,67 80 87 91
00001623,8 9 10 13 31
00000413,72 87 0
00006463,40 56 80 82
00002009,48 66 82
00001807,9 13 58 88 89
00000490,52 58 80 82
00001559,8 30 32 58
00001986,5 52 82 88 89 95
00006505,58 81
00004065,48 64 87
00001385,48 52 67 94
00003860,5 8 73 84 87 94 96
00003295,24 65 82 84 89 98 0
00002155,48 66 73 80
00000025,47 59 85
00003254,46 65 72 87 101
00004119,37 47 65 80
00006852,40 89 94
00000598,49 52 58 65
00002509,8 10 30
00006737,5 17 52
00001029,54 72 89
00001739,12 33 36 76
00003484,8 31 67
00000652,8 30 42
00002184,52 58 84 87
00000637,48 70 84
00003142,9 58 73 89
00002910,46 52 58 73 80 93 94
00001144,48 66 84
00000153,10 31
00000962,46 70 84 89 91
00001868,10 31
00002370,46 66 71 87 98
00000970,49 52 63 87
00002020,47 65 84
00001733,48 77
00002589,28 56 66 73 87
00006623,17 23 28 58
00004118,12 25 29 37 44
00000463,58 73 89
00004383,5 8 30
00000116,30 67
00002933,8 48 89
00002644,37 48 59 80 96
00004245,61 73 89
00001298,58 65 87
00003573,48 59 70 84 91
00003073,48 66 87
00004143,48 70 87
00002350,58 59 81
00004257,48 70 87 0
00001304,58 84
00006464,73 80
00004349,54 84 95
00003812,21 47 52 70 84
00002619,48 82 84
00001995,41 52 58 80
00003699,52 73 76 84 88 94
00003272,46 52 70 89 94
00002726,5 58 84
00004052,57 58
00003649,46 59 73 82 84 89 94
00001110,8 9 58 84 89
00002029,52 58 70 95
00006601,6 19 20
00002599,48 73 80 82
00002336,8 56
00004197,8 70 84 93 94
00006296,40 56
00001470,58 73 80
00001250,8 48 88
00000991,10 31 89
00006822,40 48 66 94
00001009,54 66 87
00000721,8 41 67
00001421,48 52 60 89
00002394,37 56 58
00002837,46 66 72 84 87 101
00006372,20 49
00003429,14 47 81 87
00003489,25 48 95
00000585,47 59 70
00001747,72 73 84 87 94
00004139,52 58 73 96
00001586,46 52 73 87
00006627,55 56 65
00002580,61 73 89
00000684,47 50 70 87
00001926,52 73 89
00002794,37 73 94
00003523,24 25 58 84
00002446,9 58
00006759,49 84
00003049,52 82 87 88 94
00002900,47 58 66 73 87
00001499,59 67
00004077,4 10 30 32
00001510,82 93 94
00002876,3 58 73 80 82
00004344,84 89
00003612,53 59 70
00003154,58 67 73 76
00002716,32 67
00006738,14 36 89
00002111,9 47 59 70
00003115,57 58
00000334,25 37 78
00001742,46 70 84
00003623,49 93
00001443,59 64
00004114,48 52 58 59 70
00001317,58 59 65
00004053,3 52
00002968,10 29
00002597,47 59 64
00003000,10 13
00001740,8 30 41 42 43 44
00001339,46 70 84 91
00004289,8 30
00003212,5 13
00004070,8 46 52 70
00000119,47 66 72
00002435,8 46 73 80
00003404,54 82
00003800,48 52 66 87
00006441,25 89
00002830,46 73 89
00006785,48 73 81 82
00004253,10 29
00002609,3 54
00003307,47 52 65 84 96
00001415,9 24 25 58
00003695,44 54 77 84 85 89
00003933,5 8 58 73 82 84 87 88 94
00002865,48 73 87 94
00002276,48 73 80 94
00001985,67 80 84
00002962,67 73
00000858,9 46 52 58
00002059,15 24
00003340,50 54 73 80 84 94
00002958,5 84 88 94 102
00003756,44 48 66 96 98
00001472,47 70 84 85
00000579,37 58 70 87
00006606,3 17 58
